               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11599,             0.04616,            0.041848,                   0,                   0,                   0,                   0,                   0,             0.01622,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.097852,            0.052214,            0.039592,                   0,                   0,                   0,                   0,                   0,             0.01152,                   0,            0.084644,           0.0016439,           0.0016439
                   2,            0.086431,            0.057031,            0.036369,                   0,                   0,                   0,                   0,                   0,            0.010804,                   0,            0.076428,           0.0024284,           0.0024284
                   3,            0.077102,            0.055549,            0.032914,                   0,                   0,                   0,                   0,                   0,            0.020603,                   0,            0.068154,           0.0031535,           0.0031535
                   4,            0.070901,            0.043191,             0.03058,                   0,                   0,                   0,                   0,                   0,            0.030319,                   0,            0.059819,           0.0038192,           0.0038192
                   5,            0.063929,            0.042177,            0.027453,                   0,                   0,                   0,                   0,                   0,            0.029045,                   0,            0.051425,           0.0044255,           0.0044255
                   6,            0.062014,            0.035085,            0.026048,                   0,                   0,                   0,                   0,                   0,            0.022623,                   0,            0.042972,           0.0049724,           0.0049724
                   7,            0.064023,            0.037904,            0.024499,                   0,                   0,                   0,                   0,                   0,            0.017136,                   0,             0.03446,           0.0054599,           0.0054599
                   8,            0.064835,            0.032163,            0.023688,                   0,                   0,                   0,                   0,                   0,             0.01448,                   0,            0.025888,            0.005888,            0.005888
                   9,            0.060715,             0.03317,            0.022331,                   0,                   0,                   0,                   0,                   0,            0.013194,                   0,            0.017257,           0.0062567,           0.0062567
                  10,            0.061909,            0.034014,            0.022415,                   0,                   0,                   0,                   0,                   0,            0.014333,                   0,            0.008566,            0.006566,            0.006566
                  11,            0.061547,             0.03308,            0.022299,                   0,                   0,                   0,                   0,                   0,             0.01401,                   0,             0.00637,             0.00637,             0.00637
                  12,            0.057344,            0.030233,            0.022694,                   0,                   0,                   0,                   0,                   0,            0.011948,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.055207,            0.032059,            0.021754,                   0,                   0,                   0,                   0,                   0,            0.011843,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.049525,            0.031031,            0.020718,                   0,                   0,                   0,                   0,                   0,            0.015135,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.046934,            0.031083,             0.02105,                   0,                   0,                   0,                   0,                   0,            0.015664,                   0,             0.00538,             0.00538,             0.00538
                  16,             0.04541,            0.028391,            0.020737,                   0,                   0,                   0,                   0,                   0,            0.013197,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.043872,            0.026155,            0.020455,                   0,                   0,                   0,                   0,                   0,            0.012372,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.040747,            0.028485,            0.019384,                   0,                   0,                   0,                   0,                   0,            0.014654,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.039559,            0.028415,            0.019154,                   0,                   0,                   0,                   0,                   0,            0.018542,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.038239,            0.027142,            0.019063,                   0,                   0,                   0,                   0,                   0,            0.017109,                   0,             0.00373,             0.00373,             0.00373
                  21,             0.03639,            0.025131,            0.018035,                   0,                   0,                   0,                   0,                   0,            0.014797,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.035121,            0.025078,            0.017493,                   0,                   0,                   0,                   0,                   0,            0.014395,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.035648,            0.024151,            0.018456,                   0,                   0,                   0,                   0,                   0,            0.014922,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.033436,            0.024541,            0.017902,                   0,                   0,                   0,                   0,                   0,            0.015593,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.032866,            0.025737,            0.018139,                   0,                   0,                   0,                   0,                   0,             0.01604,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.029089,             0.02454,            0.016222,                   0,                   0,                   0,                   0,                   0,            0.016752,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.029028,             0.02777,            0.017263,                   0,                   0,                   0,                   0,                   0,            0.017223,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.027191,            0.024506,            0.016256,                   0,                   0,                   0,                   0,                   0,            0.017547,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.027668,            0.024301,            0.017285,                   0,                   0,                   0,                   0,                   0,            0.017491,                   0,             0.00076,             0.00076,             0.00076
