               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11749,            0.045795,            0.042375,           0.0021922,             0.18519,           0.0045009,           0.0010187,            0.095944,            0.033558,             0.04119,              0.0946,              0.0006,              0.0006
                   1,             0.10519,            0.055083,            0.041003,           0.0043341,             0.37037,           0.0072152,           0.0026465,            0.086151,            0.033798,            0.038562,            0.088287,           0.0012871,           0.0012871
                   2,            0.090639,            0.054638,            0.037764,           0.0097273,             0.96296,            0.079492,            0.022997,            0.072823,            0.033506,            0.036292,             0.08196,           0.0019604,           0.0019604
                   3,             0.08082,            0.055058,            0.035279,             0.13027,             0.40741,             0.18829,            0.052156,             0.06543,            0.028929,            0.032204,             0.07562,           0.0026198,           0.0026198
                   4,            0.073515,            0.054166,            0.032095,             0.12393,             0.45382,             0.17074,            0.056575,            0.068953,            0.031636,            0.027795,            0.069265,           0.0032654,           0.0032654
                   5,            0.069686,            0.044136,            0.029087,              0.5474,             0.51852,             0.30883,             0.10588,            0.071806,            0.032963,            0.025992,            0.062897,            0.003897,            0.003897
                   6,            0.066915,            0.038492,            0.026434,             0.18546,             0.86527,             0.36109,             0.14386,            0.061425,            0.030097,            0.022467,            0.056515,           0.0045149,           0.0045149
                   7,            0.061667,            0.036393,            0.023785,             0.36956,              0.8468,             0.58249,              0.2415,            0.062136,            0.024133,            0.020961,            0.050119,           0.0051188,           0.0051188
                   8,            0.065505,            0.034041,            0.022842,             0.30301,              0.7037,             0.37491,            0.081732,            0.072328,            0.020251,            0.019542,            0.043709,            0.005709,            0.005709
                   9,            0.069076,            0.034889,            0.021734,             0.13696,             0.74074,             0.31211,             0.14084,            0.084848,            0.019089,            0.019112,            0.037285,           0.0062852,           0.0062852
                  10,            0.074928,            0.031892,            0.020908,             0.24343,             0.63678,             0.38733,             0.15181,            0.063141,            0.015306,            0.018494,            0.030848,           0.0068476,           0.0068476
                  11,            0.066492,            0.033337,            0.020822,             0.45224,             0.85069,             0.61924,             0.20625,            0.061356,            0.014473,            0.018214,            0.024396,           0.0073961,           0.0073961
                  12,            0.066824,            0.030723,            0.020648,             0.36943,             0.66667,             0.59867,             0.30449,            0.064468,            0.014795,            0.018723,            0.017931,           0.0079308,           0.0079308
                  13,            0.062356,            0.029307,            0.020382,             0.40879,             0.71331,              0.7464,             0.29201,            0.060911,            0.013635,            0.017857,            0.011452,           0.0084516,           0.0084516
                  14,            0.068096,             0.02953,            0.020354,             0.32699,             0.79175,             0.50177,             0.18592,             0.06038,            0.013528,            0.016674,            0.008614,            0.008614,            0.008614
                  15,            0.064355,            0.027656,            0.019664,             0.42511,             0.74979,             0.71253,             0.29285,             0.05342,            0.013349,            0.016484,            0.008614,            0.008614,            0.008614
                  16,            0.059165,            0.028129,            0.019399,             0.40067,                   1,             0.76512,             0.42895,            0.052034,            0.013543,            0.016502,            0.008515,            0.008515,            0.008515
                  17,            0.055678,            0.026321,            0.019383,             0.33604,             0.87614,             0.61592,              0.2921,            0.064766,            0.014847,            0.016015,            0.008416,            0.008416,            0.008416
                  18,            0.062792,            0.029201,            0.019105,             0.49748,             0.81481,             0.69402,               0.357,            0.051322,            0.012929,            0.015308,            0.008317,            0.008317,            0.008317
                  19,             0.05263,            0.027067,            0.019194,             0.48906,             0.85185,             0.68251,             0.36681,            0.061858,            0.012599,            0.014314,            0.008218,            0.008218,            0.008218
                  20,             0.05634,            0.025981,            0.018801,             0.76164,             0.95291,             0.95222,             0.47615,            0.037391,            0.011857,            0.013776,            0.008119,            0.008119,            0.008119
                  21,            0.048463,            0.023955,            0.018295,             0.47048,             0.94144,             0.68119,             0.37921,            0.044049,            0.012632,            0.013385,             0.00802,             0.00802,             0.00802
                  22,            0.052831,            0.021375,            0.017203,              0.5525,             0.88533,             0.84287,             0.36915,             0.05241,            0.013413,            0.012665,            0.007921,            0.007921,            0.007921
                  23,            0.047944,            0.027632,             0.01695,             0.63009,             0.90068,             0.91029,             0.45265,            0.037449,            0.012683,            0.012506,            0.007822,            0.007822,            0.007822
                  24,            0.045312,            0.025829,            0.016771,             0.55706,             0.90973,              0.8615,             0.49766,            0.038086,            0.011739,            0.011896,            0.007723,            0.007723,            0.007723
