               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1158,            0.045807,            0.041837,           0.0033857,             0.31111,           0.0061556,           0.0015976,             0.10015,            0.033604,            0.040082,              0.0928,              0.0008,              0.0008
                   1,            0.096838,            0.051905,            0.039353,           0.0058781,             0.55556,            0.047931,           0.0097343,            0.080009,            0.034496,            0.036557,            0.084666,           0.0016663,           0.0016663
                   2,            0.086456,            0.056792,            0.036184,             0.14648,             0.24877,             0.16168,            0.048173,            0.067193,              0.0319,            0.033334,            0.076497,            0.002497,            0.002497
                   3,            0.074956,            0.053718,            0.032934,            0.040518,             0.17778,            0.056415,            0.017807,            0.071919,            0.039207,            0.031155,            0.068292,           0.0032921,           0.0032921
                   4,            0.071119,            0.041122,            0.029825,            0.099456,                 0.6,             0.24265,            0.064419,            0.068743,            0.038252,            0.026006,            0.060052,           0.0040515,           0.0040515
                   5,             0.06575,            0.040697,            0.027245,             0.17339,             0.62222,             0.24054,            0.082181,            0.066009,             0.02956,            0.022499,            0.051775,           0.0047753,           0.0047753
                   6,             0.06392,            0.035287,            0.026549,             0.32954,             0.75556,             0.45779,             0.21685,            0.059193,            0.024572,            0.021744,            0.043463,           0.0054634,           0.0054634
                   7,            0.063902,            0.037688,            0.024373,             0.17108,             0.65731,             0.45481,             0.17101,            0.069598,            0.021345,            0.020549,            0.035116,           0.0061159,           0.0061159
                   8,            0.070915,            0.032439,            0.023671,             0.36956,             0.71611,              0.5759,             0.21908,            0.061738,            0.017087,            0.020595,            0.026733,           0.0067328,           0.0067328
                   9,            0.068599,            0.032663,            0.022405,             0.31438,             0.75556,             0.59327,             0.24053,            0.058948,              0.0165,            0.020206,            0.018314,            0.007314,            0.007314
                  10,            0.062382,            0.033149,            0.022104,             0.30188,             0.62222,             0.49847,             0.17783,            0.064403,            0.016394,             0.01973,           0.0098596,           0.0078596,           0.0078596
                  11,            0.064643,            0.031433,            0.021624,             0.34832,             0.87074,             0.67289,             0.25415,            0.053336,            0.015234,            0.018652,            0.007822,            0.007822,            0.007822
                  12,            0.059776,            0.030487,            0.022332,             0.30692,             0.88889,             0.50574,             0.20771,            0.053363,            0.015203,            0.018089,            0.007822,            0.007822,            0.007822
                  13,            0.055952,             0.03045,            0.021531,             0.39975,             0.86667,             0.62327,             0.27036,            0.053016,            0.014154,            0.017949,            0.007624,            0.007624,            0.007624
                  14,            0.057127,            0.032542,            0.020648,             0.36617,             0.79381,             0.67087,             0.32349,            0.046028,            0.014564,            0.017473,            0.007426,            0.007426,            0.007426
                  15,            0.048675,            0.027402,            0.020466,             0.46337,             0.77778,             0.73604,             0.44367,            0.038788,            0.013951,            0.016978,            0.007228,            0.007228,            0.007228
                  16,            0.049225,            0.028872,            0.019912,             0.53398,             0.95306,              0.7934,             0.46976,            0.034949,            0.013876,            0.017148,             0.00703,             0.00703,             0.00703
                  17,            0.047142,            0.030324,            0.018659,             0.54322,             0.90423,             0.77974,             0.45597,            0.034813,            0.013488,            0.017216,            0.006832,            0.006832,            0.006832
